,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75585,75374,70638,66514,62664,58878,55534,52093,48792,46089,43430,41636,39712,37789,36067,33943,32117,30312,28837,27402,25695,24636,22991,22367,21003,20165,19529,18552,17641,16831,16322,15484,15026,14408,14116,13177,12517,11969,11373,10856,10414,9872,9549,8962,8592,7969,7815,7366,6712,6511,6265,6009,5751,5500,5188,4932,4631,4395,4060,3850,3665,3314,3170,3060,2796,2498,2432,2096,1997,1898,1684,1504,1355,1229,1135,939,820,752,602,581,463,372,393,277,240,216,153,148,99,81,65,38,31,48,20,14,10,6,1,0,0
75710,75513,70583,66809,62802,58811,55607,52256,48908,45999,43633,41690,39821,37830,36132,34068,32095,30449,28815,27504,25685,24681,23090,22226,21104,20248,19527,18593,17679,16876,16228,15607,15040,14428,14086,13274,12442,12018,11431,10863,10400,9912,9548,8994,8553,8046,7767,7393,6764,6479,6296,6034,5771,5475,5215,4942,4616,4425,4084,3796,3705,3303,3208,3055,2768,2528,2427,2133,1972,1900,1701,1497,1352,1222,1135,951,812,737,603,581,472,382,382,291,236,207,158,149,96,70,71,37,30,46,22,14,9,7,1,0,0
75814,75703,70765,66878,62884,58945,55745,52367,48863,46160,43769,41690,39878,37978,36065,34269,32123,30434,28853,27536,25714,24745,23207,22213,21107,20243,19606,18612,17677,16873,16303,15617,15045,14498,13994,13379,12489,11999,11482,10841,10436,9932,9569,9006,8532,8087,7744,7450,6788,6462,6322,6010,5811,5480,5233,4933,4611,4441,4095,3804,3719,3322,3202,3036,2821,2518,2434,2139,1956,1895,1715,1502,1350,1219,1139,941,835,718,623,573,478,391,370,296,234,207,159,150,99,68,76,34,30,45,21,15,9,6,1,0,0
75921,75731,70940,66935,62919,59068,55872,52404,49006,46303,43812,41748,39858,38051,36179,34318,32227,30418,28827,27619,25709,24828,23257,22182,21217,20228,19609,18717,17664,16881,16303,15684,15072,14474,13979,13450,12536,11972,11515,10854,10493,9917,9596,9023,8513,8114,7731,7495,6839,6430,6336,6031,5783,5498,5234,4937,4620,4474,4079,3807,3716,3355,3194,3045,2807,2546,2439,2159,1942,1889,1695,1528,1361,1215,1140,959,826,725,621,565,493,380,366,306,230,213,161,146,96,76,72,37,27,42,27,12,10,7,1,0,0
75946,75895,71177,67013,63016,59144,55951,52522,49103,46355,43830,41878,39859,38220,36123,34400,32329,30481,28852,27556,25832,24914,23248,22205,21240,20324,19610,18770,17724,16851,16322,15684,15109,14491,14016,13428,12623,11975,11490,10891,10501,9890,9642,9085,8496,8080,7784,7483,6882,6466,6310,6030,5825,5491,5271,4918,4614,4507,4076,3815,3707,3412,3176,3040,2851,2543,2426,2176,1945,1886,1697,1519,1371,1219,1144,965,819,719,625,559,506,386,353,305,237,215,161,143,103,74,65,41,29,36,32,12,9,7,3,0,0
76014,76028,71229,67194,63027,59311,55939,52700,49126,46351,44036,41922,39918,38264,36235,34403,32446,30445,28999,27572,25864,24937,23288,22140,21351,20362,19639,18738,17832,16885,16307,15706,15119,14483,14072,13480,12629,11995,11485,10930,10485,9980,9640,9086,8495,8126,7778,7485,6886,6458,6361,5984,5820,5506,5310,4983,4558,4520,4066,3892,3679,3414,3185,3013,2885,2545,2419,2181,1954,1876,1704,1514,1380,1238,1149,960,820,706,626,563,504,403,345,305,234,215,159,144,106,74,64,43,30,32,34,11,8,8,3,0,0
76123,76153,71307,67319,63100,59446,55991,52718,49384,46253,44219,41921,40082,38271,36350,34521,32413,30554,28936,27648,25967,24895,23325,22246,21333,20397,19663,18818,17918,16835,16356,15700,15161,14439,14143,13495,12650,12064,11479,10913,10515,9996,9640,9131,8494,8151,7783,7479,6918,6504,6319,5998,5855,5503,5340,4935,4600,4514,4119,3899,3664,3448,3170,3009,2906,2551,2419,2197,1961,1865,1720,1495,1399,1220,1166,954,831,718,616,566,512,399,342,307,240,208,156,152,106,74,59,47,27,33,35,10,7,9,2,0,0
76103,76289,71554,67396,63219,59586,56061,52820,49351,46410,44276,42024,40152,38311,36399,34564,32483,30655,28983,27598,26048,24944,23377,22229,21463,20406,19616,18811,17978,16867,16390,15691,15201,14437,14149,13518,12713,12124,11499,10866,10579,9998,9637,9139,8565,8168,7810,7426,6961,6489,6383,5975,5876,5553,5314,4925,4627,4489,4162,3899,3645,3483,3170,3003,2920,2589,2392,2216,1955,1862,1707,1518,1371,1247,1170,925,836,712,645,569,500,415,330,313,234,214,156,147,105,80,58,45,25,28,32,13,9,9,2,0,0
76270,76402,71700,67437,63363,59687,56100,53004,49509,46419,44415,41932,40310,38398,36429,34705,32469,30599,29125,27680,26063,24971,23547,22158,21535,20363,19611,18900,17973,16940,16408,15728,15240,14474,14111,13473,12809,12144,11494,10886,10619,10007,9629,9163,8574,8229,7734,7516,6977,6487,6392,6002,5883,5562,5300,4940,4659,4498,4147,3892,3677,3486,3185,2998,2928,2599,2385,2228,1931,1884,1736,1499,1387,1233,1146,960,833,721,641,560,501,418,327,314,232,218,159,144,107,83,55,47,22,29,33,11,10,8,2,0,0
76431,76466,71889,67515,63488,59658,56268,53121,49583,46596,44411,42044,40267,38455,36487,34738,32531,30696,29182,27699,26187,24922,23605,22262,21528,20407,19626,18871,17961,17045,16445,15764,15210,14495,14102,13532,12825,12207,11423,10976,10599,10059,9592,9228,8580,8255,7687,7556,7050,6460,6404,6015,5844,5597,5297,4984,4637,4499,4184,3869,3730,3463,3184,3003,2909,2639,2382,2234,1945,1859,1754,1496,1383,1235,1130,976,840,716,646,549,509,418,329,316,233,219,158,138,111,85,58,45,23,33,31,12,11,8,2,0,0
